escenario,active_profile,champion_id,baseline_matches_champion,psi_monto_total,psi_pct_contratacion_directa,psi_pct_comparacion_precios,psi_concentracion_objeto,psi_favoritismo_max,psi_fraccionamiento_max,psi_max,recall_at_k_champion,recall_at_k_fraccionamiento,retraining_required,candidate_generated,candidate_id,automatic_promotion
normal,spark_mllib,spark-poc-81b28cf92909acb2,True,0.20827796068326193,0.012560843575744707,0.1456545383101751,0.2304853386247846,0.2304853386247846,5.910622053260484,5.910622053260484,,,True,True,spark-poc-7c610fd1fbeb1605,False
con_drift,spark_mllib,spark-poc-81b28cf92909acb2,True,0.13562884584200013,0.8568249553902654,0.21731854340298254,0.1434051254539516,0.8568249553902654,4.175218865919668,4.175218865919668,1.0,,True,True,spark-poc-0a07db7c7e280226,False
