k,auc_pr_validacion_medio,auc_pr_validacion_min,auc_pr_validacion_max,recall_at_k_validacion_medio
2,0.36495831285385033,0.11906961643269962,0.6313492063492063,0.27777777777777773
3,0.29541767737361313,0.06937581894478446,0.6368421052631579,0.16666666666666666
5,0.23360067047484012,0.12543784234551753,0.33051587301587304,0.16666666666666666
6,0.2198183583709168,0.1636965811965812,0.31548659673659674,0.1111111111111111
4,0.21075963024356123,0.09953106937992105,0.31439853719265487,0.1111111111111111
