id_entidad,nombre_entidad,direccion,telefono,address_department
PE-CONSUCODE-203726,GOBIERNO REGIONAL JUNIN UNIDAD EJECUTORA NRO 310 EDUCACION PICHANAKI,MICAELA BASTIDAS S/N,064402772,JUNIN
PE-CONSUCODE-1701,MUNICIPALIDAD DISTRITAL DE VILQUECHICO,PLAZA DE ARMAS S/N 2DO PISO,,PUNO
PE-CONSUCODE-203746,GOBIERNO REGIONAL DEL CUSCO UNIDAD EJECUTORA 315 EDUCACION ANTA,LOS ANDES S/N,084203553,CUSCO
PE-CONSUCODE-1723,MUNICIPALIDAD DISTRITAL DE CUYOCUYO,PLAZA DE ARMAS,,PUNO
PE-CONSUCODE-1732,MUNICIPALIDAD DISTRITAL DE CABANA - SAN RAMON,SAN ROMAN 2DO PISO.INT.9,,PUNO
PE-CONSUCODE-1750,MUNICIPALIDAD DISTRITAL DE SANTA ROSA MAZOCRUZ - EL COLLAO,JR. BOLOGNESI No 102 3ER PISO,,PUNO
PE-CONSUCODE-1785,MUNICIPALIDAD DISTRITAL DE AWAJUN,JR. AWAJÚN S/N - BAJO NARANJILLO,,SAN MARTIN
PE-CONSUCODE-1787,MUNICIPALIDAD DISTRITAL DE NUEVA CAJAMARCA,JR. HUALLAGA Y BOLOGNESI Nº103,042556411,SAN MARTIN
PE-CONSUCODE-1854,MUNICIPALIDAD DISTRITAL DE CAIRANI,PLAZA DE ARMAS 2DO.PISO,790269,TACNA
PE-CONSUCODE-1862,MUNICIPALIDAD DISTRITAL DE PAMPAS DE HOSPITAL,AV. PLAZA DE ARMAS Nº131,,TUMBES
PE-CONSUCODE-200050,GOBIERNO REGIONAL DE AYACUCHO - SALUD SARASARA,AV. NELLO CATANZARO S/N CORACORA,066451251,AYACUCHO
PE-CONSUCODE-200082,ZONA ARQUEOLOGICA CARAL,Av. Lomas de La Molina Nº 327- La Molina,,LIMA
PE-CONSUCODE-200093,MUNICIPALIDAD DISTRITAL DE APARICIO POMARES,JR. 28 DE JULIO N° 101,976090092,HUANUCO
PE-CONSUCODE-200183,INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE HUANCAVELICA,AV 28 DE ABRIL SN BARRIO DE SAN CRISTOBAL,067369040,HUANCAVELICA
PE-CONSUCODE-200184,INSTITUTO VIAL PROVINCIAL DE CHANCHAMAYO - IVP CHANCHAMAYO,AV. ZUCHETTI Nº 166 2DO. PISO CHANCHAMAYO-LA MERCED JUNIN,064531143,JUNIN
PE-CONSUCODE-200187,INSTITUTO VIAL PROVINCIAL DE TOCACHE - IVP TOCACHE,JR. JULIO AREVALO Nª 597 TOCACHE SAN MARTIN,,SAN MARTIN
PE-CONSUCODE-200200,INSTITUTO DE VIALIDAD MUNICIPAL PROVINCIAL DE YUNGAY,PLAZA DE ARMAS S/N YUNGAY,,ANCASH
PE-CONSUCODE-200210,INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE TAYACAJA,JR. GRAU Nº 115 SEGUNDO PISO - PAMPAS TAYACAJA,977557277,HUANCAVELICA
PE-CONSUCODE-200214,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE OXAPAMPA,JIRON MULLEMBRUCK Nº 242 - 2DO PISO - ESTADIO MUNICIPAL - OXAPAMPA,063462158,PASCO
PE-CONSUCODE-200248,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE MOYOBAMBA,JR. DOS MAYO N° 395 - MOYOBAMBA,042564309,SAN MARTIN
PE-CONSUCODE-200249,GOBIERNO REGIONAL DE PIURA - PROYECTO ESPECIAL DE IRRIGACION HIDROENERGETICO DEL ALTO PIURA,JR. LIMA  Nº 219 - 221,,PIURA
PE-CONSUCODE-200257,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PASAJE FRANCISCO DE ZELA 150 PISO 10,,LIMA
PE-CONSUCODE-200271,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE PACHITEA,JR. LIMA N° 104-SEGUNDO NIVEL-PANAO-PACHITEA-HUANUCO,,HUANUCO
PE-CONSUCODE-200293,INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE ABANCAY,JR LOS JARDINES NRO 502 INT 2,083-207441,APURIMAC
PE-CONSUCODE-200336,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE ACOBAMBA,Jr. Dos de Mayo Nº 463 - Acobamba,,HUANCAVELICA
PE-CONSUCODE-200341,INSTITUTO VIAL PROVINCIAL DE SAN PABLO,"JR, LIMA Nº 769",942228650,CAJAMARCA
PE-CONSUCODE-200374,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE PICOTA,JR. SAN MARTIN Nro. 591 Picota - SAN MARTIN,,SAN MARTIN
PE-CONSUCODE-200394,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE CHURCAMPA,JR. DANIEL HERNANDES S/N,487022,HUANCAVELICA
PE-CONSUCODE-200403,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE MARISCAL CACERES,JR. MIGUEL GRAU NRO. 337 SAN MARTIN - MARISCAL CACERES - JUANJUI,,SAN MARTIN
PE-CONSUCODE-200416,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE CASTROVIRREYNA,AV. LOS LIBERTADORES NRO. S/N HUANCAVELICA - CASTROVIRREYNA - CASTROVIRREYNA,,HUANCAVELICA
PE-CONSUCODE-200417,CORTE SUPERIOR DE JUSTICIA DE LA LIBERTAD,MZA. P LOTE. 7 SEC. NATASHA ALTA LA LIBERTAD - TRUJILLO - TRUJILLO,,LA LIBERTAD
PE-CONSUCODE-200427,INSTITUTO VIAL PROVINCIAL CHUPACA,JR. MIGUEL GRAU NRO. 185 JUNIN - CHUPACA - CHUPACA,11111111,JUNIN
PE-CONSUCODE-200463,INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE MARISCAL NIETO,AV SIMON BOLIVAR SN,053464543,MOQUEGUA
PE-CONSUCODE-200491,INSTITUTO VIAL PROVINCIAL MUNICIPAL DE HUAYTARA,CAL. MUNICIPALIDAD NRO. 100 (PLAZA DE ARMAS) HUANCAVELICA - HUAYTARA - HUAYTARA,111111111,HUANCAVELICA
PE-CONSUCODE-200528,GOBIERNO REGIONAL DE HUANUCO - RED DE SALUD HUAMALIES,JR. 28 DE JULIO NRO. 260 C.P.M LLATA (SEGUNDO PISO DEL HOSPITAL DE LLATA) HUANUCO - HUAMALIES - LLATA,,HUANUCO
PE-CONSUCODE-200536,GOBIERNO REGIONAL DE LA LIBERTAD - UGEL 03 UNIDAD EJECUTORA EDUCACION 315 TRUJILLO NOR OESTE,PJ. SAN LUIS NRO. 110 URB. SAN ANDRES LA LIBERTAD - TRUJILLO - TRUJILLO,044-226406,LA LIBERTAD
PE-CONSUCODE-200553,INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE HUAMALIES,JR. HUANUCO NRO 310 INT 4,997404621,HUANUCO
PE-CONSUCODE-204671,PROCURADURIA GENERAL DEL ESTADO,AV. 28 DE JULIO NRO. 215,2048020,LIMA
